Model,mean_predicted_probability,fraction_positive
Logistic Regression,3.813762750512254e-05,0.0
Logistic Regression,0.0002777549987697231,0.0
Logistic Regression,0.001467653496380779,0.0
Logistic Regression,0.008928833991758806,0.0
Logistic Regression,0.08350123495265738,0.07142857142857142
Logistic Regression,0.7159047646440401,0.8571428571428571
Logistic Regression,0.9948285841941832,1.0
Logistic Regression,0.9999907264545139,1.0
SVM (RBF),0.0006911650999829708,0.0
SVM (RBF),0.0017787281348899248,0.0
SVM (RBF),0.003838830473070227,0.0
SVM (RBF),0.021347193378735082,0.0
SVM (RBF),0.09461428461522017,0.07142857142857142
SVM (RBF),0.7604456778364083,0.8571428571428571
SVM (RBF),0.9865881716343107,1.0
SVM (RBF),0.9999986713970687,1.0
Random Forest,0.0010416666666666667,0.0
Random Forest,0.005,0.0
Random Forest,0.009000000000000001,0.0
Random Forest,0.04346153846153847,0.0
Random Forest,0.1571428571428571,0.07142857142857142
Random Forest,0.6048214285714285,0.8571428571428571
Random Forest,0.9484374999999999,1.0
Random Forest,0.9998076923076924,1.0
XGBoost,0.0003374436356049652,0.0
XGBoost,0.0008019828570208379,0.0
XGBoost,0.001705728321602302,0.0
XGBoost,0.004417190195194313,0.07142857142857142
XGBoost,0.022438810572826436,0.0
XGBoost,0.6703034602105618,0.8571428571428571
XGBoost,0.9969326683453151,1.0
XGBoost,0.9994146267573039,1.0
Soft Voting Ensemble,0.0008059906553689877,0.0
Soft Voting Ensemble,0.0022696315643232863,0.0
Soft Voting Ensemble,0.005256143710323476,0.0
Soft Voting Ensemble,0.026749610223559882,0.0
Soft Voting Ensemble,0.09620342152571175,0.07142857142857142
Soft Voting Ensemble,0.6760563745423454,0.8571428571428571
Soft Voting Ensemble,0.9750934049075555,1.0
Soft Voting Ensemble,0.9993200503777485,1.0
