Feature,Permutation Importance Mean,Permutation Importance SD
worst area,0.0034226190476190966,0.0023537105927707498
worst concave points,0.003158068783068846,0.0019444983151493296
worst texture,0.0012896825396825906,0.002066259328053254
worst radius,0.0012566137566138113,0.001985866683701985
mean concave points,0.0009093915343916181,0.0022982835536061136
worst smoothness,0.0006944444444444697,0.0009943814005784625
worst perimeter,0.0005621693121693694,0.002113626434497576
worst concavity,0.00046296296296300944,0.0013588095561905213
worst fractal dimension,0.0003802910052910502,0.00028938292986622783
mean area,0.0003637566137566606,0.0008509062884799289
texture error,0.00028108465608470135,0.00030863161524034193
compactness error,0.0002480158730158999,0.0008301932036853365
concave points error,4.960317460320218e-05,0.0004053633393552521
mean fractal dimension,4.9603174603185526e-05,0.00019416102798030388
concavity error,4.9603174603185526e-05,0.00012114667610205156
mean smoothness,4.9960036108132046e-17,0.0005677216106342403
mean perimeter,-3.3068783068740394e-05,0.0008970052778941981
symmetry error,-4.960317460313557e-05,0.00028938292986622317
mean compactness,-6.61375661375252e-05,0.0003146339888186286
mean radius,-9.920634920631554e-05,0.0010893959168530823
area error,-0.00013227513227507816,0.0014765440159384738
worst compactness,-0.00014880952380950108,0.0006207499644694765
fractal dimension error,-0.00016534391534388514,0.0002735351163586243
mean symmetry,-0.00021494708994705404,0.00030863161524030566
perimeter error,-0.0002480158730158444,0.0005242375202530244
worst symmetry,-0.00039682539682534543,0.0014812141720889614
mean concavity,-0.0004960317460317055,0.0012162083320240717
radius error,-0.0005291005291004792,0.0014005260969627493
mean texture,-0.0006117724867724439,0.0012707102971205966
smoothness error,-0.0006283068783068391,0.0005866674658220979
