Model,Fold,CV F1,CV ROC-AUC
Logistic Regression,1,0.9375,0.9948400412796697
SVM (RBF),1,0.9538461538461539,0.9974200206398349
Random Forest,1,0.9393939393939394,0.9881320949432405
XGBoost,1,0.9552238805970149,0.9963880288957688
Soft Voting Ensemble,1,0.9696969696969697,0.9953560371517028
Logistic Regression,2,0.9565217391304348,0.9989680082559339
SVM (RBF),2,0.9714285714285714,0.9989680082559339
Random Forest,2,0.9714285714285714,0.9992260061919505
XGBoost,2,0.9565217391304348,0.9979360165118679
Soft Voting Ensemble,2,0.9714285714285714,0.9994840041279669
Logistic Regression,3,1.0,1.0
SVM (RBF),3,0.9855072463768116,0.9984520123839009
Random Forest,3,0.9393939393939394,0.9940660474716202
XGBoost,3,0.9538461538461539,0.9953560371517027
Soft Voting Ensemble,3,0.9696969696969697,0.9994840041279669
Logistic Regression,4,0.9696969696969697,0.9871001031991744
SVM (RBF),4,0.9538461538461539,0.9855521155830753
Random Forest,4,0.927536231884058,0.9837461300309598
XGBoost,4,0.9565217391304348,0.9850361197110422
Soft Voting Ensemble,4,0.9552238805970149,0.9860681114551084
Logistic Regression,5,0.9565217391304348,0.9979360165118679
SVM (RBF),5,0.9705882352941176,0.9943240454076367
Random Forest,5,0.9696969696969697,0.978844169246646
XGBoost,5,0.9850746268656716,0.9932920536635707
Soft Voting Ensemble,5,0.9850746268656716,0.9943240454076367
Logistic Regression,6,0.9393939393939394,0.9860681114551084
SVM (RBF),6,0.9411764705882353,0.9865841073271413
Random Forest,6,0.9393939393939394,0.9832301341589268
XGBoost,6,0.9411764705882353,0.977296181630547
Soft Voting Ensemble,6,0.9411764705882353,0.9886480908152735
Logistic Regression,7,0.9850746268656716,1.0
SVM (RBF),7,1.0,1.0
Random Forest,7,0.9565217391304348,0.998968008255934
XGBoost,7,0.9705882352941176,0.998452012383901
Soft Voting Ensemble,7,1.0,1.0
Logistic Regression,8,1.0,1.0
SVM (RBF),8,0.9855072463768116,1.0
Random Forest,8,1.0,1.0
XGBoost,8,0.9714285714285714,1.0
Soft Voting Ensemble,8,1.0,1.0
Logistic Regression,9,0.9552238805970149,0.9963880288957689
SVM (RBF),9,0.9393939393939394,0.9963880288957689
Random Forest,9,0.9032258064516129,0.9963880288957688
XGBoost,9,0.9538461538461539,0.9958720330237358
Soft Voting Ensemble,9,0.9696969696969697,0.9984520123839009
Logistic Regression,10,0.9705882352941176,0.9963880288957689
SVM (RBF),10,0.9253731343283582,0.9907120743034056
Random Forest,10,0.8857142857142857,0.9775541795665635
XGBoost,10,0.9117647058823529,0.9829721362229102
Soft Voting Ensemble,10,0.9850746268656716,0.9927760577915377
Logistic Regression,11,0.9696969696969697,0.9974200206398349
SVM (RBF),11,0.9705882352941176,0.9979360165118679
Random Forest,11,0.9696969696969697,0.9927760577915377
XGBoost,11,0.9696969696969697,0.9974200206398348
Soft Voting Ensemble,11,0.9705882352941176,0.9969040247678018
Logistic Regression,12,0.9705882352941176,0.9979360165118679
SVM (RBF),12,0.9705882352941176,0.9974200206398349
Random Forest,12,0.9375,0.9971620227038184
XGBoost,12,0.9411764705882353,0.9974200206398349
Soft Voting Ensemble,12,0.9850746268656716,0.9989680082559339
Logistic Regression,13,0.9428571428571428,0.998452012383901
SVM (RBF),13,0.9577464788732394,0.9994840041279669
Random Forest,13,0.9428571428571428,0.9966460268317853
XGBoost,13,0.9855072463768116,0.9994840041279669
Soft Voting Ensemble,13,0.9714285714285714,0.9989680082559339
Logistic Regression,14,0.9696969696969697,0.9891640866873064
SVM (RBF),14,0.9393939393939394,0.9845201238390093
Random Forest,14,0.875,0.9883900928792569
XGBoost,14,0.9253731343283582,0.9871001031991744
Soft Voting Ensemble,14,0.9253731343283582,0.9907120743034056
Logistic Regression,15,0.9850746268656716,0.9994840041279669
SVM (RBF),15,0.9552238805970149,0.9953560371517028
Random Forest,15,0.9552238805970149,0.9775541795665634
XGBoost,15,0.9538461538461539,0.9881320949432404
Soft Voting Ensemble,15,0.9850746268656716,0.9943240454076367
